Municipality|Ward_Name|Ward_Number|Contest|Candidate|Votes
City of Kenosha|Wards 1|1|Party Preference Section|Democratic|306
City of Kenosha|Wards 1|1|Party Preference Section|Republican|147
City of Kenosha|Wards 1|1|Party Preference Section|Wisconsin Green|2
City of Kenosha|Wards 1|1|Party Preference Section|Libertarian|1
City of Kenosha|Wards 1|1|Party Preference Section|Constitution|0
City of Kenosha|Wards 1|1|DEM United States Senator|Tammy Baldwin|301
City of Kenosha|Wards 1|1|DEM United States Senator|Write-In|1
City of Kenosha|Wards 1|1|DEM Representative in Congress|Peter Barca|293
City of Kenosha|Wards 1|1|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 1|1|DEM State Senator District 22|Robert W. Wirch|300
City of Kenosha|Wards 1|1|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 1|1|DEM Representative to the Assembly District 64|Tip McGuire|285
City of Kenosha|Wards 1|1|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 1|1|DEM District Attorney|Carli McNeill|281
City of Kenosha|Wards 1|1|DEM District Attorney|Write-In|1
City of Kenosha|Wards 1|1|DEM County Clerk|Regi Waligora|280
City of Kenosha|Wards 1|1|DEM County Clerk|Write-In|0
City of Kenosha|Wards 1|1|DEM County Treasurer|Teri Jacobson|286
City of Kenosha|Wards 1|1|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 1|1|DEM Register of Deeds|Jennifer Mack|278
City of Kenosha|Wards 1|1|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 1|1|REP United States Senator|Eric Hovde|145
City of Kenosha|Wards 1|1|REP United States Senator|Charles E. Barman|10
City of Kenosha|Wards 1|1|REP United States Senator|Rejani Raveendran|10
City of Kenosha|Wards 1|1|REP United States Senator|Write-In|0
City of Kenosha|Wards 1|1|REP Representative in Congress|Bryan Steil|148
City of Kenosha|Wards 1|1|REP Representative in Congress|Write-In|4
City of Kenosha|Wards 1|1|REP State Senator District 22|Write-In|5
City of Kenosha|Wards 1|1|REP Representative to the Assembly District 64|Ed Hibsch|136
City of Kenosha|Wards 1|1|REP Representative to the Assembly District 64|Write-In|3
City of Kenosha|Wards 1|1|REP District Attorney|Xavier Solis|131
City of Kenosha|Wards 1|1|REP District Attorney|Write-In|3
City of Kenosha|Wards 1|1|REP County Clerk|Write-In|2
City of Kenosha|Wards 1|1|REP County Treasurer|Write-In|2
City of Kenosha|Wards 1|1|REP Register of Deeds|Write-In|3
City of Kenosha|Wards 1|1|CON United States Senator|Write-In|0
City of Kenosha|Wards 1|1|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 1|1|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 1|1|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 1|1|CON District Attorney|Write-In|0
City of Kenosha|Wards 1|1|CON County Clerk|Write-In|0
City of Kenosha|Wards 1|1|CON County Treasurer|Write-In|0
City of Kenosha|Wards 1|1|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 1|1|LIB United States Senator|Write-In|0
City of Kenosha|Wards 1|1|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 1|1|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 1|1|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 1|1|LIB District Attorney|Write-In|0
City of Kenosha|Wards 1|1|LIB County Clerk|Write-In|0
City of Kenosha|Wards 1|1|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 1|1|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 1|1|GRN United States Senator|Write-In|0
City of Kenosha|Wards 1|1|GRN Representative in Congress|Chester Todd, Jr.|2
City of Kenosha|Wards 1|1|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 1|1|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 1|1|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 1|1|GRN District Attorney|Write-In|0
City of Kenosha|Wards 1|1|GRN County Clerk|Write-In|0
City of Kenosha|Wards 1|1|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 1|1|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 1|1|State Referendum - Question 1|No|310
City of Kenosha|Wards 1|1|State Referendum - Question 1|Yes|169
City of Kenosha|Wards 1|1|State Referendum - Question 2|No|306
City of Kenosha|Wards 1|1|State Referendum - Question 2|Yes|171
City of Kenosha|Wards 2|2|Party Preference Section|Democratic|184
City of Kenosha|Wards 2|2|Party Preference Section|Republican|85
City of Kenosha|Wards 2|2|Party Preference Section|Constitution|0
City of Kenosha|Wards 2|2|Party Preference Section|Libertarian|0
City of Kenosha|Wards 2|2|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 2|2|DEM United States Senator|Tammy Baldwin|180
City of Kenosha|Wards 2|2|DEM United States Senator|Write-In|1
City of Kenosha|Wards 2|2|DEM Representative in Congress|Peter Barca|174
City of Kenosha|Wards 2|2|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 2|2|DEM State Senator District 22|Robert W. Wirch|178
City of Kenosha|Wards 2|2|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 2|2|DEM Representative to the Assembly District 64|Tip McGuire|175
City of Kenosha|Wards 2|2|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 2|2|DEM District Attorney|Carli McNeill|170
City of Kenosha|Wards 2|2|DEM District Attorney|Write-In|0
City of Kenosha|Wards 2|2|DEM County Clerk|Regi Waligora|168
City of Kenosha|Wards 2|2|DEM County Clerk|Write-In|0
City of Kenosha|Wards 2|2|DEM County Treasurer|Teri Jacobson|170
City of Kenosha|Wards 2|2|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 2|2|DEM Register of Deeds|Jennifer Mack|166
City of Kenosha|Wards 2|2|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 2|2|REP United States Senator|Eric Hovde|83
City of Kenosha|Wards 2|2|REP United States Senator|Charles E. Barman|7
City of Kenosha|Wards 2|2|REP United States Senator|Rejani Raveendran|5
City of Kenosha|Wards 2|2|REP United States Senator|Write-In|0
City of Kenosha|Wards 2|2|REP Representative in Congress|Bryan Steil|89
City of Kenosha|Wards 2|2|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 2|2|REP State Senator District 22|Write-In|1
City of Kenosha|Wards 2|2|REP Representative to the Assembly District 64|Ed Hibsch|80
City of Kenosha|Wards 2|2|REP Representative to the Assembly District 64|Write-In|1
City of Kenosha|Wards 2|2|REP District Attorney|Xavier Solis|75
City of Kenosha|Wards 2|2|REP District Attorney|Write-In|1
City of Kenosha|Wards 2|2|REP County Clerk|Write-In|1
